"id","year","active_year","type_of_violence","conflict_new_id","conflict_name","dyad_new_id","dyad_name","side_a_new_id","gwnoa","side_a","side_b_new_id","gwnob","side_b","number_of_sources","source_article","source_office","source_date","source_headline","source_original","where_prec","where_coordinates","adm_1","adm_2","latitude","longitude","geom_wkt","priogrid_gid","country","country_id","region","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","low","best","high"
49375,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Mon State","Mon State","",16.25,97.75,"POINT (97.750000 16.250000)",153196,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-07","1994-09-07",0,0,1,0,1,1,1
52728,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 8/9 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-09-08","1994-09-08",0,0,0,6,6,6,6
49879,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-11","1994-09-11",0,0,4,0,4,4,4
49666,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-12","1994-09-12",0,0,3,0,3,3,3
52768,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 14/9 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-09-14","1994-09-14",0,0,0,5,5,5,5
53792,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 17/9 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-09-17","1994-09-17",0,0,1,0,1,1,1
49237,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",2,"Buthidaung Township","Rakhine State","Maungdaw District",20.875369,92.529996,"POINT (92.529996 20.875369)",159666,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-18","1994-09-18",0,0,1,0,1,1,1
49022,1994,0,1,224,"Myanmar (Burma):Mon",445,"Government of Myanmar (Burma) - NMSP",144,"775","Government of Myanmar (Burma)",190,NA,"NMSP",-1,"R 29/9 1994","",NA,"","Burmese state-run TV",1,"Kwan Hla town","Mon State","Mawlamyine District",16.023264,97.737339,"POINT (97.737339 16.023264)",153196,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-28","1994-09-28",1,0,0,1,2,2,2
48839,1994,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 30/9 1994","",NA,"","trader in area, government sources",3,"Kawkareik District","Kayin State","Kawkareik District",15.833678,98.244408,"POINT (98.244408 15.833678)",152477,"Myanmar (Burma)",775,"Asia",1,1,"1994-09-30","1994-09-30",0,0,0,3,3,3,3
50001,1994,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 14/10 1994","",NA,"","traders",2,"Myawaddy town","Kayin State","Myawaddy District",16.686389,98.506111,"POINT (98.506111 16.686389)",153918,"Myanmar (Burma)",775,"Asia",1,1,"1994-10-12","1994-10-12",0,0,0,0,0,0,6
73616,1994,0,1,322,"Bangladesh:Chittagong Hill Tracts",705,"Government of Bangladesh - JSS/SB",143,"771","Government of Bangladesh",285,NA,"JSS/SB",-1,"R 10/17/1994 Bangladesh rebel killed in clash with troops.","",NA,"","military sources",3,"Khagrachhari District","Chittagong Division","Khagrachhari District",23.16952,91.95316,"POINT (91.953160 23.169520)",163264,"Bangladesh",771,"Asia",1,1,"1994-10-17","1994-10-17",0,1,0,0,1,1,1
49942,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-10-31","1994-10-31",0,0,2,0,2,2,2
51468,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",1,"""Amnesty International ,1995-06-01,No place to hide""","Amnesty International ",1995-06-01,"No place to hide","",3,"Kawkareik District","Kayin State","Kawkareik District",15.833678,98.244408,"POINT (98.244408 15.833678)",152477,"Myanmar (Burma)",775,"Asia",1,4,"1994-11-01","1994-11-30",0,0,1,0,0,1,1
52231,1994,1,1,404,"Pakistan:Government",855,"Government of Pakistan - MQM",142,"770","Government of Pakistan",354,NA,"MQM",-1,"R 3/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-02","1994-11-02",1,0,0,8,9,9,9
55043,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 10/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-10","1994-11-10",0,0,3,1,4,4,4
52731,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 11/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-11","1994-11-11",0,0,0,6,6,6,6
52732,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 12/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-12","1994-11-12",0,0,1,0,1,1,1
52733,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 12/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-12","1994-11-12",0,0,0,5,5,5,5
55045,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 19/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-19","1994-11-19",0,0,3,4,7,7,7
50420,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",2,"Shwegyin town","Bago Division","Bago District",17.923614,96.875314,"POINT (96.875314 17.923614)",155354,"Myanmar (Burma)",775,"Asia",1,1,"1994-11-20","1994-11-20",0,0,2,0,2,2,2
55046,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 21/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-21","1994-11-21",0,0,0,1,1,1,1
52769,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 1/12 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,2,"1994-11-30","1994-12-01",0,0,0,7,7,7,7
48897,1994,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 29/11 1994","",NA,"","government source",4,"Kayin State","Kayin State","",17.5,97.75,"POINT (97.750000 17.500000)",155356,"Myanmar (Burma)",775,"Asia",1,1,"1994-11-29","1994-11-29",4,0,0,0,4,4,4
51309,1994,0,2,4612,"DKBA - KNU",5222,"DKBA - KNU",785,"","DKBA",180,NA,"KNU",-1,"Rogers, Benedict (2004), A land without evil, Oxford: Monarch books","",NA,"","",5,"Confluence of the Moie and Salween rivers","","",17.832892,97.69095,"POINT (97.690950 17.832892)",155356,"Myanmar (Burma)",775,"Asia",1,3,"1994-12-01","1994-12-07",0,5,0,0,5,5,5
54348,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 7/12 1994","",NA,"","Eyewitnesses",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-12-07","1994-12-07",0,0,0,4,4,4,4
49220,1994,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 1712","",NA,"","KNU statement",2,"Manerplaw base","Kayin State","Kawkareik District",17.836972,97.678028,"POINT (97.678028 17.836972)",155356,"Myanmar (Burma)",775,"Asia",2,2,"1994-12-12","1994-12-17",6,0,0,0,6,6,6
